iter	Passed	Remaining
392	2059	3180
393	2065	3176
394	2071	3172
395	2076	3166
396	2081	3161
397	2088	3158
398	2093	3153
399	2098	3147
400	2104	3143
401	2108	3137
402	2114	3132
403	2119	3126
404	2124	3121
405	2129	3115
406	2135	3111
407	2141	3107
408	2146	3101
409	2152	3098
410	2159	3094
411	2163	3088
412	2169	3082
413	2173	3075
414	2178	3070
415	2184	3066
416	2189	3060
417	2194	3056
418	2200	3051
419	2205	3045
420	2210	3040
421	2215	3034
422	2221	3030
423	2226	3024
424	2232	3020
425	2237	3014
426	2242	3009
427	2248	3005
428	2254	3000
429	2259	2995
430	2265	2990
431	2270	2985
432	2276	2981
433	2282	2976
434	2288	2972
435	2294	2967
436	2300	2963
437	2306	2958
438	2311	2953
439	2316	2947
440	2322	2944
441	2328	2939
442	2332	2933
443	2339	2930
444	2345	2924
445	2351	2920
446	2357	2916
447	2363	2912
448	2368	2906
449	2373	2901
450	2379	2896
451	2384	2891
452	2390	2885
453	2395	2881
454	2401	2876
455	2407	2871
456	2412	2866
457	2417	2860
458	2424	2857
459	2430	2852
460	2435	2847
461	2440	2842
462	2446	2837
463	2452	2833
464	2458	2828
465	2464	2823
466	2470	2819
467	2474	2813
468	2480	2808
469	2486	2804
470	2492	2798
471	2498	2794
472	2504	2790
473	2509	2784
474	2515	2780
475	2521	2775
476	2527	2770
477	2532	2765
478	2537	2759
479	2542	2754
480	2549	2750
481	2554	2745
482	2560	2740
483	2566	2736
484	2571	2730
485	2577	2725
486	2582	2720
487	2588	2715
488	2593	2710
489	2599	2705
490	2604	2700
491	2610	2695
492	2615	2689
493	2620	2683
494	2625	2678
495	2630	2672
496	2635	2667
497	2641	2662
498	2646	2657
499	2651	2651
500	2657	2646
501	2663	2642
502	2669	2637
503	2675	2633
504	2681	2628
505	2686	2622
506	2692	2617
507	2697	2612
508	2702	2607
509	2709	2602
510	2715	2598
511	2720	2593
512	2725	2587
513	2731	2582
514	2737	2577
515	2743	2573
516	2748	2568
517	2755	2563
518	2761	2559
519	2767	2554
520	2772	2549
521	2778	2544
522	2783	2539
523	2789	2534
524	2796	2529
525	2801	2524
526	2807	2519
527	2812	2514
528	2817	2508
529	2823	2504
530	2828	2498
531	2834	2493
532	2839	2487
533	2844	2482
534	2850	2477
535	2856	2472
536	2861	2467
537	2868	2462
538	2873	2457
539	2878	2452
540	2884	2447
541	2889	2442
542	2896	2437
543	2902	2432
544	2907	2427
545	2913	2422
546	2919	2417
547	2925	2412
548	2930	2407
549	2936	2402
550	2941	2396
551	2946	2391
552	2951	2385
553	2957	2380
554	2963	2375
555	2968	2370
556	2974	2365
557	2980	2360
558	2985	2354
559	2990	2349
560	2995	2344
561	3001	2339
562	3006	2333
563	3012	2329
564	3018	2324
565	3023	2318
566	3030	2313
567	3035	2308
568	3041	2303
569	3046	2297
570	3051	2292
571	3057	2287
572	3062	2282
573	3068	2277
574	3073	2271
575	3078	2266
576	3084	2261
577	3090	2256
578	3095	2250
579	3101	2245
580	3106	2240
581	3111	2234
582	3117	2230
583	3122	2224
584	3128	2219
585	3134	2214
586	3139	2208
587	3146	2204
588	3151	2199
589	3156	2193
590	3162	2188
591	3166	2182
592	3171	2177
593	3178	2172
594	3184	2167
595	3190	2162
596	3195	2156
597	3200	2151
598	3207	2146
599	3212	2141
600	3217	2135
601	3222	2130
602	3228	2125
603	3233	2119
604	3239	2115
605	3245	2109
606	3251	2105
607	3257	2100
608	3263	2095
609	3268	2089
610	3273	2084
611	3279	2079
612	3284	2073
613	3291	2068
614	3296	2063
615	3302	2058
616	3308	2053
617	3313	2048
618	3319	2043
619	3325	2037
620	3330	2032
621	3336	2027
622	3341	2022
623	3346	2016
624	3352	2011
625	3357	2006
626	3364	2001
627	3369	1996
628	3374	1990
629	3379	1984
630	3385	1979
631	3390	1974
632	3395	1968
633	3401	1963
634	3406	1957
635	3412	1953
636	3418	1948
637	3424	1943
638	3431	1938
639	3437	1933
640	3442	1928
641	3447	1922
642	3452	1916
643	3457	1911
644	3462	1905
645	3468	1900
646	3475	1896
647	3480	1890
648	3486	1885
649	3492	1880
650	3498	1875
651	3503	1869
652	3508	1864
653	3513	1858
654	3518	1853
655	3525	1848
656	3531	1843
657	3538	1839
658	3543	1833
659	3549	1828
660	3554	1823
661	3560	1817
662	3565	1812
663	3571	1807
664	3576	1801
665	3581	1796
666	3587	1791
667	3593	1786
668	3600	1781
669	3606	1776
670	3615	1772
671	3622	1768
672	3629	1763
673	3636	1758
674	3642	1753
675	3649	1749
676	3655	1744
677	3660	1738
678	3667	1733
679	3674	1729
680	3682	1724
681	3692	1721
682	3700	1717
683	3708	1713
684	3715	1708
685	3721	1703
686	3730	1699
687	3738	1695
688	3745	1690
689	3752	1685
690	3757	1680
691	3763	1675
692	3768	1669
693	3775	1664
694	3781	1659
695	3786	1654
696	3793	1649
697	3800	1644
698	3807	1639
699	3819	1636
700	3829	1633
701	3838	1629
702	3845	1624
703	3851	1619
704	3857	1614
705	3864	1609
706	3870	1604
707	3877	1599
708	3884	1594
709	3890	1589
710	3909	1588
711	3917	1584
712	3925	1580
713	3932	1575
714	3939	1570
715	3959	1570
716	3968	1566
717	3974	1560
718	3980	1555
719	3987	1550
720	4004	1549
721	4014	1545
722	4020	1540
723	4026	1534
724	4033	1529
725	4040	1525
726	4060	1524
727	4074	1522
728	4080	1516
729	4086	1511
730	4093	1506
731	4099	1500
732	4105	1495
733	4111	1490
734	4117	1484
735	4124	1479
736	4146	1479
737	4153	1474
738	4160	1469
739	4165	1463
740	4173	1458
741	4180	1453
742	4194	1450
743	4219	1451
744	4225	1446
745	4232	1441
746	4239	1435
747	4246	1430
748	4267	1429
749	4287	1429
750	4294	1423
751	4301	1418
752	4307	1413
753	4313	1407
754	4320	1401
755	4326	1396
756	4352	1397
757	4371	1395
758	4377	1389
759	4383	1384
760	4390	1378
761	4397	1373
762	4403	1367
763	4409	1362
764	4416	1356
765	4422	1350
766	4457	1353
767	4465	1348
768	4471	1343
769	4477	1337
770	4484	1331
771	4490	1326
772	4497	1320
773	4504	1315
774	4510	1309
775	4516	1303
776	4534	1301
777	4569	1303
778	4576	1298
779	4585	1293
780	4590	1287
781	4595	1281
782	4602	1275
783	4607	1269
784	4612	1263
785	4619	1257
786	4624	1251
787	4630	1245
788	4636	1239
789	4642	1234
790	4648	1228
791	4654	1222
792	4660	1216
793	4666	1210
794	4672	1204
795	4677	1198
796	4683	1192
797	4688	1186
798	4694	1180
799	4700	1175
800	4706	1169
801	4712	1163
802	4717	1157
803	4724	1151
804	4730	1145
805	4735	1139
806	4742	1134
807	4748	1128
808	4753	1122
809	4759	1116
810	4765	1110
811	4770	1104
812	4776	1098
813	4782	1092
814	4787	1086
815	4793	1080
816	4800	1075
817	4805	1069
818	4809	1062
819	4815	1057
820	4820	1051
821	4826	1045
822	4832	1039
823	4838	1033
824	4843	1027
825	4848	1021
826	4853	1015
827	4858	1009
828	4865	1003
829	4870	997
830	4875	991
831	4881	985
832	4887	979
833	4894	974
834	4899	968
835	4904	962
836	4910	956
837	4916	950
838	4920	944
839	4927	938
840	4932	932
841	4937	926
842	4943	920
843	4949	914
844	4954	908
845	4960	902
846	4965	896
847	4971	891
848	4977	885
849	4982	879
850	4987	873
851	4993	867
852	4998	861
853	5005	855
854	5011	849
855	5017	844
856	5023	838
857	5028	832
858	5033	826
859	5039	820
860	5044	814
861	5049	808
862	5055	802
863	5061	796
864	5067	790
865	5073	784
866	5078	779
867	5085	773
868	5090	767
869	5096	761
870	5102	755
871	5108	749
872	5113	743
873	5119	738
874	5124	732
875	5129	726
876	5134	720
877	5139	714
878	5145	708
879	5150	702
880	5155	696
881	5160	690
882	5166	684
883	5172	678
884	5178	672
885	5183	667
886	5191	661
887	5196	655
888	5201	649
889	5207	643
890	5213	637
891	5220	632
892	5225	626
893	5230	620
894	5236	614
895	5242	608
896	5248	602
897	5254	596
898	5259	590
899	5266	585
900	5271	579
901	5277	573
902	5282	567
903	5287	561
904	5294	555
905	5300	549
906	5307	544
907	5311	538
908	5317	532
909	5323	526
910	5329	520
911	5335	514
912	5340	508
913	5346	503
914	5352	497
915	5357	491
916	5362	485
917	5367	479
918	5373	473
919	5379	467
920	5384	461
921	5390	456
922	5395	450
923	5401	444
924	5407	438
925	5413	432
926	5418	426
927	5423	420
928	5429	414
929	5435	409
930	5441	403
931	5447	397
932	5452	391
933	5457	385
934	5462	379
935	5468	373
936	5474	368
937	5480	362
938	5487	356
939	5493	350
940	5499	344
941	5505	338
942	5511	333
943	5517	327
944	5523	321
945	5528	315
946	5533	309
947	5540	303
948	5546	298
949	5551	292
950	5556	286
951	5561	280
952	5567	274
953	5573	268
954	5579	262
955	5585	257
956	5591	251
957	5597	245
958	5638	241
959	5651	235
960	5657	229
961	5664	223
962	5671	217
963	5679	212
964	5689	206
965	5696	200
966	5703	194
967	5710	188
968	5716	182
969	5722	176
970	5728	171
971	5735	165
972	5742	159
973	5748	153
974	5754	147
975	5761	141
976	5768	135
977	5775	129
978	5782	124
979	5788	118
980	5795	112
981	5801	106
982	5828	100
983	5838	94
984	5846	89
985	5851	83
986	5857	77
987	5862	71
988	5867	65
989	5872	59
990	5878	53
991	5884	47
992	5889	41
993	5893	35
994	5899	29
995	5904	23
996	5909	17
997	5914	11
998	5919	5
999	5925	0
