iter	Logloss
0	0.6729372618
1	0.6586291949
2	0.6459663787
3	0.6309647235
4	0.6203556718
5	0.6081279775
6	0.5970979798
7	0.5872478886
8	0.5784837848
9	0.5699601241
10	0.5630497609
11	0.5554518541
12	0.5496234077
13	0.5458622081
14	0.5402518371
15	0.5352506035
16	0.5308018126
17	0.5266951562
18	0.5234024758
19	0.5209171335
20	0.5174985089
21	0.5143485961
22	0.5119630481
23	0.5093627818
24	0.5072295863
25	0.5049701882
26	0.5025981493
27	0.5004253025
28	0.4982301229
29	0.4964013947
30	0.4946805685
31	0.4928763482
32	0.4911398627
33	0.4898509684
34	0.4887078451
35	0.4874783306
36	0.486214036
37	0.4849383144
38	0.4842494185
39	0.4832874663
40	0.4821803027
41	0.4812577372
42	0.4808328282
43	0.4796354845
44	0.4791902105
45	0.4787537373
46	0.4783275925
47	0.4778234852
48	0.4772473566
49	0.4770528429
50	0.4767692634
51	0.4766473051
52	0.4761022264
53	0.4758286659
54	0.4752765894
55	0.4747157351
56	0.4743420882
57	0.4741144941
58	0.4734280475
59	0.4728224619
60	0.4724873634
61	0.4719926514
62	0.4711486772
63	0.4706131666
64	0.4702755265
65	0.4698907847
66	0.4694916831
67	0.4694056548
68	0.469164749
69	0.4682704554
70	0.4679109402
71	0.4675658249
72	0.4675362999
73	0.4668853287
74	0.4666293552
75	0.4664512752
76	0.4662660454
77	0.4661074022
78	0.4654695079
79	0.4652979518
80	0.4646573842
81	0.464208728
82	0.464195989
83	0.4640461899
84	0.4636663801
85	0.4635221493
86	0.4631970848
87	0.4626377804
88	0.4624567135
89	0.4619987899
90	0.4619050548
91	0.4617751911
92	0.4613584429
93	0.4612710616
94	0.4603213554
95	0.4601142066
96	0.459955847
97	0.459779174
98	0.459653076
99	0.4594295865
100	0.4593569872
101	0.458968872
102	0.4589661853
103	0.4589513249
104	0.4588442417
105	0.4586000884
106	0.4578702208
107	0.4578702174
108	0.4575108205
109	0.4569740588
110	0.4566602768
111	0.4566070012
112	0.4565821229
113	0.4565729077
114	0.456361023
115	0.4563610189
116	0.4561805566
117	0.4557364633
118	0.4554567056
119	0.4553925496
120	0.4551626957
121	0.4550553123
122	0.4547623829
123	0.4544947994
124	0.4544432862
125	0.4542522572
126	0.4540478166
127	0.4538672349
128	0.4538158546
129	0.4537278333
130	0.4537278332
131	0.4534994854
132	0.4533234032
133	0.4527052213
134	0.452224624
135	0.4517298193
136	0.451458018
137	0.4513242773
138	0.4511680589
139	0.4511316139
140	0.4509568147
141	0.4506424342
142	0.4506421463
143	0.4505089586
144	0.4503714617
145	0.4501652464
146	0.4499506952
147	0.4496747093
148	0.4495516959
149	0.4493560454
150	0.4493119466
151	0.4493038626
152	0.4492344569
153	0.4491078654
154	0.4489071148
155	0.4488450697
156	0.448830756
157	0.4486741549
158	0.4486631649
159	0.4486195897
160	0.4483784327
161	0.4481008669
162	0.4480703485
163	0.4476975305
164	0.4476842569
165	0.4473281244
166	0.4469886614
167	0.4467460305
168	0.4464305952
169	0.4457870831
170	0.4455150221
171	0.4454545712
172	0.4450704005
173	0.4446000182
174	0.4445897473
175	0.4441171784
176	0.4435676011
177	0.4435310826
178	0.44317281
179	0.4427634542
180	0.4425898605
181	0.442409609
182	0.442164737
183	0.4419677369
184	0.4417465488
185	0.4414932338
186	0.4414932274
187	0.4413311834
188	0.4412723039
189	0.4412351405
190	0.4410197428
191	0.4403712041
192	0.4403294962
193	0.4402380218
194	0.4401026757
195	0.4395846734
196	0.4389784252
197	0.4388250122
198	0.4384885792
199	0.4378607569
200	0.4378607526
201	0.4377022823
202	0.4371334485
203	0.4367741513
204	0.4364813419
205	0.4360351043
206	0.4357090665
207	0.4353097054
208	0.4348091192
209	0.4347534294
210	0.4346256258
211	0.4345363334
212	0.434318029
213	0.4338057426
214	0.4334174286
215	0.4329444052
216	0.4329043083
217	0.432251987
218	0.4318499923
219	0.4315978746
220	0.4311305621
221	0.4310075215
222	0.4307308866
223	0.4306606992
224	0.4301811884
225	0.4296555551
226	0.4293884843
227	0.4290439064
228	0.4287855799
229	0.4287724587
230	0.4286769345
231	0.4284409556
232	0.4281803957
233	0.427559841
234	0.4274934919
235	0.4274193623
236	0.427310739
237	0.4270660402
238	0.4269695435
239	0.426819203
240	0.4267075661
241	0.4262644388
242	0.4262160204
243	0.4259462905
244	0.4259424347
245	0.4254346038
246	0.4251264367
247	0.424787943
248	0.4244661725
249	0.4239674227
250	0.4238450981
251	0.4233414729
252	0.4231379323
253	0.4230276652
254	0.4229496167
255	0.4228213851
256	0.4223394661
257	0.4215289853
258	0.4210189172
259	0.4209082844
260	0.4205242598
261	0.4201837912
262	0.4195278572
263	0.4193563558
264	0.4191870797
265	0.4188150059
266	0.4187666305
267	0.4187369048
268	0.4186794298
269	0.417980599
270	0.4177701883
271	0.417075283
272	0.4166977205
273	0.4163085977
274	0.4162050588
275	0.416186081
276	0.4158900798
277	0.4157114135
278	0.4156996463
279	0.4156470031
280	0.4152152568
281	0.4149889985
282	0.4143968494
283	0.414197956
284	0.4141084663
285	0.4135543497
286	0.4133706066
287	0.4132849647
288	0.4131361255
289	0.4130881859
290	0.4130540684
291	0.4126797376
292	0.4123294089
293	0.412294811
294	0.4115606627
295	0.4114818574
296	0.4114451543
297	0.4111201361
298	0.4107169581
299	0.4103185223
300	0.4099072374
301	0.4096638004
302	0.4096425545
303	0.409351162
304	0.4091932223
305	0.4090323264
306	0.4089475235
307	0.4087054618
308	0.4086609129
309	0.4085310514
310	0.4083705456
311	0.4078804206
312	0.4075046037
313	0.4072530132
314	0.4070926289
315	0.4070731604
316	0.4065396707
317	0.4061088983
318	0.4060852911
319	0.4059761307
320	0.4058717342
321	0.4054920041
322	0.4053766872
323	0.4048178126
324	0.4046557712
325	0.4043703012
326	0.4042898042
327	0.404053906
328	0.4036023617
329	0.403419386
330	0.4033424378
331	0.4032150179
332	0.4031950342
333	0.4027816057
334	0.4023330101
335	0.4022790767
336	0.402261875
337	0.4021732674
338	0.4016145446
339	0.4014489987
340	0.4010160605
341	0.4006476175
342	0.4001618106
343	0.3998593375
344	0.3996032945
345	0.3992882168
346	0.3989008782
347	0.3985585257
348	0.3981604172
349	0.3979435721
350	0.3978415653
351	0.3975963393
352	0.3971946471
353	0.3969716127
354	0.3969001894
355	0.3967629543
356	0.3962947449
357	0.3958069327
358	0.3953805941
359	0.3952650005
360	0.395124523
361	0.3949714998
362	0.3949076012
363	0.3948715511
364	0.3946903438
365	0.3941999116
366	0.3939575982
367	0.3933772848
368	0.3930770182
369	0.3926573558
370	0.3926358441
371	0.3923101522
372	0.3918578468
373	0.391594276
374	0.391274899
375	0.391012445
376	0.3905481325
377	0.3900396353
378	0.3897248532
379	0.3894988849
380	0.3891984606
381	0.3887292208
382	0.3883407456
383	0.3880454424
384	0.387747155
385	0.3876705595
386	0.3874185808
387	0.3873254135
388	0.3872874754
389	0.3871152824
390	0.3870297616
391	0.3869909276
392	0.3869552168
393	0.3867039896
394	0.3864460774
395	0.3863101709
396	0.3860516739
397	0.3859553059
398	0.3857975718
399	0.3856869574
400	0.3855741143
401	0.3853486448
402	0.3853462426
403	0.3851077015
404	0.3847708812
405	0.3844652949
406	0.3843098842
407	0.3840290342
408	0.3837177532
409	0.383592356
410	0.3834746531
411	0.383395863
412	0.3831673967
413	0.383154046
414	0.3830238947
415	0.3829372955
416	0.3826458998
417	0.3824987595
418	0.3823823986
419	0.3820073027
420	0.381631202
421	0.3814343719
422	0.3812767244
423	0.3812743801
424	0.3812366459
425	0.3811103732
426	0.3810622758
427	0.380701563
428	0.3806108081
429	0.3805884494
430	0.3804172964
431	0.3801805119
432	0.3799940019
433	0.3795622451
434	0.3792541701
435	0.3792497181
436	0.3789696241
437	0.3787388109
438	0.3784589884
439	0.3781252086
440	0.3778726044
441	0.3777540991
442	0.3775908537
443	0.3775128626
444	0.3773649834
445	0.3770889431
446	0.3766599329
447	0.3764825067
448	0.3763160268
449	0.3761782915
450	0.3760066488
451	0.3758823954
452	0.375457723
453	0.3753515144
454	0.3749338684
455	0.3748300468
456	0.3743759594
457	0.3739199916
458	0.3738157641
459	0.3736036363
460	0.373442167
461	0.3733275298
462	0.373209152
463	0.3731265782
464	0.3728537074
465	0.3726482876
466	0.3724174279
467	0.3721460589
468	0.3720827233
469	0.371990823
470	0.371791841
471	0.3714948212
472	0.3712816523
473	0.3712615399
474	0.3712231286
475	0.3712052301
476	0.3711538997
477	0.370897871
478	0.3707594804
479	0.3704743705
480	0.3701437175
481	0.3698801306
482	0.3696584814
483	0.3696272309
484	0.3695537034
485	0.3694551953
486	0.3693352371
487	0.3692368435
488	0.3692057816
489	0.369153182
490	0.3689197644
491	0.3687202906
492	0.3685753203
493	0.3683255853
494	0.3681299688
495	0.367883663
496	0.3677538608
497	0.3674704564
498	0.3672661025
499	0.3669552971
500	0.3669118197
501	0.3666999028
502	0.3664418487
503	0.3663948122
504	0.3662634063
505	0.3658411635
506	0.3655692094
507	0.3653698248
508	0.3652662863
509	0.3650009611
510	0.3647145197
511	0.3646725454
512	0.364544307
513	0.3644022603
514	0.3643445734
515	0.3641954096
516	0.3640589214
517	0.3638665392
518	0.363627076
519	0.3633451411
520	0.3629888621
521	0.3629360456
522	0.3628405467
523	0.3626810431
524	0.3623755507
525	0.3621855332
526	0.3621074553
527	0.3619925362
528	0.3617620033
529	0.3616348512
530	0.3612805456
531	0.3610373025
532	0.3608380239
533	0.3606862959
534	0.3604854491
535	0.360355022
536	0.3602753112
537	0.3601660776
538	0.3599116614
539	0.3597577853
540	0.3596765734
541	0.3595995876
542	0.359372695
543	0.3592240688
544	0.3590894058
545	0.3590053513
546	0.3589742336
547	0.3588688535
548	0.3587163878
549	0.3584963207
550	0.3582718626
551	0.3581355565
552	0.3578864234
553	0.3577527206
554	0.3575706438
555	0.357191725
556	0.3570070325
557	0.3568789246
558	0.3566802441
559	0.3563441445
560	0.3560992808
561	0.3559443859
562	0.3556785526
563	0.3555501058
564	0.3553560682
565	0.35532368
566	0.3550396337
567	0.3547812935
568	0.3546238164
569	0.3544754576
570	0.3542724649
571	0.3541293768
572	0.3539497139
573	0.3538336912
574	0.3536138328
575	0.3534702886
576	0.3531639126
577	0.3529061232
578	0.3525489877
579	0.352367698
580	0.3522752859
581	0.352077801
582	0.3518872223
583	0.3515842292
584	0.3514142441
585	0.3512890683
586	0.3510486836
587	0.350942926
588	0.3507494077
589	0.3505984268
590	0.350487022
591	0.3503904268
592	0.3502508569
593	0.3501807635
594	0.3499079194
595	0.3497249204
596	0.3494778629
597	0.3491916814
598	0.349091159
599	0.3488042119
600	0.3486986269
601	0.348574978
602	0.3484367206
603	0.3482365627
604	0.3480733659
605	0.3479429169
606	0.3479100068
607	0.3477486073
608	0.3473603359
609	0.347004152
610	0.3469012467
611	0.3467810468
612	0.3465690096
613	0.3464612737
614	0.3462306332
615	0.3461090898
616	0.3460254324
617	0.3458687713
618	0.3456712376
619	0.3455336292
620	0.3454907977
621	0.3454192261
622	0.3453401142
623	0.3451572595
624	0.3449732086
625	0.3447669999
626	0.3445995309
627	0.3445151223
628	0.344223075
629	0.3440338894
630	0.3438333932
631	0.3436478225
632	0.3436111115
633	0.343440733
634	0.3433319364
635	0.3428769603
636	0.342568793
637	0.3423241064
638	0.3422129873
639	0.3420780709
640	0.3420083893
641	0.3417511928
642	0.3416677638
643	0.3413721858
644	0.3412204806
645	0.341046583
646	0.3409301932
647	0.3406763189
648	0.3404803155
649	0.3403467268
650	0.340186265
651	0.340007544
652	0.3398193575
653	0.3396537636
654	0.3393727524
655	0.3392416681
656	0.33912963
657	0.3390598034
658	0.3390180902
659	0.3388667089
660	0.3387203983
661	0.3386466395
662	0.3385275636
663	0.3384517709
664	0.3380701399
665	0.3380278212
666	0.3378877933
667	0.3377316594
668	0.3374462846
669	0.3371622046
670	0.3371337088
671	0.3370842533
672	0.3369153073
673	0.3367113742
674	0.3365036093
675	0.3363099334
676	0.3362320293
677	0.336013531
678	0.3357982261
679	0.3356404097
680	0.3354552517
681	0.3353070422
682	0.3351895038
683	0.3350588847
684	0.334967878
685	0.3347986393
686	0.334572816
687	0.3343793281
688	0.3342073392
689	0.334121839
690	0.3340166109
691	0.3338683596
692	0.3336279411
693	0.3333191982
694	0.3332139444
695	0.3330795793
696	0.3329804778
697	0.3328444732
698	0.3326198659
699	0.3325388933
700	0.3323660527
701	0.3321823403
702	0.332073528
703	0.3318813265
704	0.331706912
705	0.3315866926
706	0.3314853164
707	0.331365811
708	0.3312548272
709	0.3312075197
710	0.3309540714
711	0.3308602263
712	0.3306440127
713	0.3305279878
714	0.3304609782
715	0.3303701579
716	0.3302666941
717	0.3301034647
718	0.3300486904
719	0.3298101076
720	0.3296397092
721	0.3295241474
722	0.3294195659
723	0.3292774571
724	0.3288941022
725	0.328802329
726	0.3286435994
727	0.3284268325
728	0.3282874196
729	0.3280545011
730	0.3278695677
731	0.3276039778
732	0.3272844789
733	0.3270224872
734	0.3268866494
735	0.3267980419
736	0.3267122535
737	0.3266075324
738	0.3265391226
739	0.3261216419
740	0.3259715058
741	0.3257125347
742	0.3255764875
743	0.3254794494
744	0.3254373757
745	0.3253308294
746	0.3252449905
747	0.3250291966
748	0.3248427512
749	0.3247544822
750	0.3246164366
751	0.3245431833
752	0.324347066
753	0.3243040781
754	0.324269367
755	0.3242210738
756	0.324068433
757	0.3238093422
758	0.3235600889
759	0.3234794097
760	0.3233986854
761	0.3233641821
762	0.3233000001
763	0.3231436387
764	0.3229180782
765	0.3226459792
766	0.3223801799
767	0.3221638467
768	0.322135382
769	0.3220827358
770	0.3220054824
771	0.3219670786
772	0.321889112
773	0.3217906176
774	0.321693394
775	0.3215988384
776	0.321504916
777	0.3214487007
778	0.3213681854
779	0.3211441325
780	0.3209053429
781	0.320838347
782	0.3206399285
783	0.3203704307
784	0.3200580706
785	0.3199327351
786	0.3198576786
787	0.3197327294
788	0.3195886174
789	0.3194997106
790	0.3193777152
791	0.3192103324
792	0.3191720347
793	0.3190779216
794	0.3189711492
795	0.3188135567
796	0.318508999
797	0.3182736603
798	0.3180098521
799	0.3178572611
800	0.3177797166
801	0.3175800151
802	0.3174532061
803	0.3172172062
804	0.31716352
805	0.317099267
806	0.3170157132
807	0.316987012
808	0.3169032807
809	0.3166454607
810	0.3165745586
811	0.3164694046
812	0.3163165374
813	0.3161637324
814	0.3160082864
815	0.3158687114
816	0.3158222599
817	0.3158015705
818	0.3157028
819	0.3155241399
820	0.3154833464
821	0.3153511788
822	0.3152084129
823	0.3151640259
824	0.3150511603
825	0.3150332103
826	0.3148194154
827	0.314762808
828	0.3146635141
829	0.3144137249
830	0.3143640655
831	0.3143187783
832	0.3143077478
833	0.3141078565
834	0.3139696752
835	0.3139476485
836	0.3138500377
837	0.3138222045
838	0.313804522
839	0.3137242427
840	0.3134941568
841	0.3133692233
842	0.3132835716
843	0.31301623
844	0.3129240288
845	0.3128395313
846	0.3125885879
847	0.3125008495
848	0.3123884172
849	0.3123390159
850	0.3120663248
851	0.3117371908
852	0.3115729353
853	0.3114878948
854	0.3113906646
855	0.311328951
856	0.3113014387
857	0.3111787899
858	0.3110507085
859	0.3109498331
860	0.3107942984
861	0.3107680417
862	0.3107587751
863	0.3106464424
864	0.3105403157
865	0.3103228028
866	0.310157535
867	0.3099080368
868	0.3096376615
869	0.309528039
870	0.3094245195
871	0.3093588845
872	0.3093104601
873	0.3091741152
874	0.3090757608
875	0.3089223645
876	0.3088392888
877	0.3088212867
878	0.3087438628
879	0.3086319134
880	0.3084896026
881	0.3081615891
882	0.3079221026
883	0.3079023594
884	0.3076636855
885	0.3074141676
886	0.3072741187
887	0.3072042288
888	0.3069339339
889	0.3068595223
890	0.3067476002
891	0.3064679542
892	0.3062054013
893	0.3059808564
894	0.3058452338
895	0.3058069342
896	0.3057144495
897	0.3055379589
898	0.3054325624
899	0.3052379636
900	0.3051442298
901	0.305027451
902	0.3048471987
903	0.3047952463
904	0.3047442624
905	0.3046160788
906	0.3045669917
907	0.3044301058
908	0.3043949626
909	0.3041528309
910	0.3039737566
911	0.3036617663
912	0.3036035513
913	0.3034790285
914	0.3033598938
915	0.3032975874
916	0.3032284779
917	0.3031142351
918	0.302804087
919	0.3025551655
920	0.3023391079
921	0.302306602
922	0.302243339
923	0.3020654422
924	0.3019851196
925	0.3018998424
926	0.3018734673
927	0.3018261714
928	0.3017911632
929	0.3016544181
930	0.3015733522
931	0.3014829149
932	0.3012333336
933	0.3010659803
934	0.3008230393
